axis,variant,sequence,stride,repetitions,ate_rmse_runs_m,ate_mean_m,ate_sd_m,trajectory_rows,backend_or_scheduler_attempts,backend_rejected,visual_process_calls,visual_commits_runs,camera_images_read,camera_images_seen,camera_images_dropped,selected_timestamps_sha256,status,evidence
B,P2,Palace_01,2,3,"0.1302|0.1300|0.1303",0.1301667,0.0001528,4014,4020,0,"4014|4014|4014","4012|4012|4012",4020,8039,4020,b313f82875991a00193731dbf99d240b5c3db8cdf21e0e2ce24611fe05352986,PASS,"prompt18_p2_p_livo_Palace_01_r1;prompt18_p2_p_livo_Palace_01_r2;prompt18_p2_p_livo_Palace_01_r3"
B,P2,Quarter_01,2,3,"0.0641|0.0658|0.0667",0.0655333,0.0013204,2866,2872,0,"2866|2866|2866","2864|2864|2864",2872,5745,2873,4308c1d304108bf0ff767ac33bc467d3300deb479803233cce9030576f8d15fc,PASS,"prompt18_p2_p_livo_Quarter_01_r1;prompt18_p2_p_livo_Quarter_01_r2;prompt18_p2_p_livo_Quarter_01_r3"
B,N0,Church_05,1,3,"0.2128|0.2097|0.2108",0.2111000,0.0016000,3959,7920,0,"3960|3960|3960","3959|3959|3959",3961,3961,0,not-recorded-reused-prompt15,PASS,"results/prob_livo/prompt15/formal/P15-Church_05-N-LIVO-r1;P15-Church_05-N-LIVO-r2;P15-Church_05-N-LIVO-r3"
B,N0,College_03,2,3,"0.0746|0.0744|0.0748",0.0746000,0.0002000,5673,11359,0,"5679|5679|5679","5672|5672|5672",5681,5681,0,not-recorded-reused-prompt15,PASS,"results/prob_livo/prompt15/formal/P15-College_03-N-LIVO-r1;P15-College_03-N-LIVO-r2;P15-College_03-N-LIVO-r3"
B,N0,Palace_01,2,3,"0.1295|0.1289|0.1297",0.1293667,0.0004041,8030,16075,0,"8037|8037|8037","8029|8029|8029",8039,8039,0,not-recorded-reused-prompt15,PASS,"results/prob_livo/prompt15/formal/P15-Palace_01-N-LIVO-r1;P15-Palace_01-N-LIVO-r2;P15-Palace_01-N-LIVO-r3"
B,N0,Quarter_01,2,3,"0.0753|0.0703|0.0709",0.0721667,0.0027538,5736,11487,0,"5743|5743|5743","5735|5735|5735",5745,5745,0,not-recorded-reused-prompt15,PASS,"results/prob_livo/prompt15/formal/P15-Quarter_01-N-LIVO-r1;P15-Quarter_01-N-LIVO-r2;P15-Quarter_01-N-LIVO-r3"
B,N1,Church_05,1,3,"0.2094|0.2084|0.2102",0.2093333,0.0009019,3959,7920,0,"3960|3960|3960","3959|3959|3959",3961,3961,0,ada0f71ab84fe97d78a9d7ae4c17418f08876e98599731687d32f5778ef30336,PASS,"prompt18_n1_native_Church_05_r1;prompt18_n1_native_Church_05_r2;prompt18_n1_native_Church_05_r3"
B,N1,College_03,2,3,"0.0514|0.0513|0.0514",0.0513667,0.0000577,2838,5679,0,"2839|2839|2839","2837|2837|2837",2841,5682,2841,30df87679ddd892df4026617ebf7c051e788d4e65905bcbffd6191be7598b089,PASS,"prompt18_n1_native_College_03_r1;prompt18_n1_native_College_03_r2;prompt18_n1_native_College_03_r3"
B,N1,Palace_01,2,3,"0.1541|0.1547|0.1559",0.1549000,0.0009165,4018,8039,0,"4019|4019|4019","4017|4017|4017",4021,8041,4020,b313f82875991a00193731dbf99d240b5c3db8cdf21e0e2ce24611fe05352986,PASS,"prompt18_n1_native_Palace_01_r1;prompt18_n1_native_Palace_01_r2;prompt18_n1_native_Palace_01_r3"
B,N1,Quarter_01,2,3,"0.0662|0.0662|0.0662",0.0662000,0.0000000,2870,5743,0,"2871|2871|2871","2869|2869|2869",2873,5746,2873,4308c1d304108bf0ff767ac33bc467d3300deb479803233cce9030576f8d15fc,PASS,"prompt18_n1_native_Quarter_01_r1;prompt18_n1_native_Quarter_01_r2;prompt18_n1_native_Quarter_01_r3"
parity,online_P1,Quarter_01,1,1,0.0692,0.0692,,5737,5744,0,5737,4869,5745,5745,0,bbcbc21cfa3130cc6b5800132555fa58363dbcf30d39b1c859100f9ada4b11c8,PASS,prompt18_online_P1_Quarter_01_retry2
parity,online_P2,Quarter_01,2,1,0.0646,0.0646,,2866,2872,0,2866,2864,2872,5745,2873,4308c1d304108bf0ff767ac33bc467d3300deb479803233cce9030576f8d15fc,PASS,prompt18_online_P2_Quarter_01_retry2
regression,P-LIO,Palace_01,0,1,0.1272,0.1272,,4047,4052,0,0,0,0,0,0,not-applicable,PASS,prompt18_regression_p_lio_Palace_01
